2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
2026-06-08 14:24:44 - navigation_interface - INFO - Navigation status updated: 1
